CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE
Industrial,2,EFI,EASTFIELD,EAST,N/A,EMPLOYMENT
Industrial,2,MLI,MAYLAND,NORTHEAST,N/A,EMPLOYMENT
Residual Sub Area,4,09H,09H,EAST,N/A,UNDEVELOPED
Residential,1,LEB,LEWISBURG,NORTH,DEVELOPING,BUILDING OUT
Residential,1,ERL,ERLTON,CENTRE,ESTABLISHED,INNER CITY
Residential,1,COA,COACH HILL,WEST,ESTABLISHED,1980s/1990s
Residential,1,DIA,DIAMOND COVE,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,THO,THORNCLIFFE,NORTH,ESTABLISHED,1950s
Residential,1,FHT,FOREST HEIGHTS,EAST,ESTABLISHED,1960s/1970s
Residential,1,HAY,HAYSBORO,SOUTH,ESTABLISHED,1950s
Industrial,2,SHI,SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT
Residential,1,CSC,CITYSCAPE,NORTHEAST,DEVELOPING,BUILDING OUT
Industrial,2,ST1,STONEY 1,NORTH,N/A,EMPLOYMENT
Residual Sub Area,4,13H,13H,SOUTH,N/A,UNDEVELOPED
Residential,1,BLM,BELMONT,SOUTH,DEVELOPING,BUILDING OUT
Residential,1,DOV,DOVER,EAST,ESTABLISHED,1960s/1970s
Residential,1,MRT,MARTINDALE,NORTHEAST,ESTABLISHED,1980s/1990s
Residential,1,WAL,WALDEN,SOUTH,DEVELOPING,BUILDING OUT
Residential,1,ALP,ALPINE PARK,SOUTH,DEVELOPING,BUILDING OUT
Industrial,2,ST2,STONEY 2,NORTHEAST,N/A,EMPLOYMENT
Industrial,2,GPI,GREAT PLAINS,EAST,N/A,EMPLOYMENT
Residential,1,VAR,VARSITY,NORTHWEST,ESTABLISHED,1960s/1970s
Residential,1,COL,COLLINGWOOD,NORTHWEST,ESTABLISHED,1950s
Residential,1,QLD,QUEENSLAND,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,WOO,WOODLANDS,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,OAK,OAKRIDGE,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,SOW,SOUTHWOOD,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,RDL,ROSEDALE,CENTRE,ESTABLISHED,INNER CITY
Residential,1,APP,APPLEWOOD PARK,EAST,ESTABLISHED,2000s
